Email,Password,Name,Address,Phone
supplier_0@gmail.com,password_0,name_0,address_0,phone_0,7.1
supplier_1@gmail.com,password_1,name_1,address_1,phone_1,5.2
supplier_2@gmail.com,password_2,name_2,address_2,phone_2,3.5
supplier_3@gmail.com,password_3,name_3,address_3,phone_3,3.9
supplier_4@gmail.com,password_4,name_4,address_4,phone_4,2.9
supplier_5@gmail.com,password_5,name_5,address_5,phone_5,1.9
supplier_6@gmail.com,password_6,name_6,address_6,phone_6,1.3
supplier_7@gmail.com,password_7,name_7,address_7,phone_7,0.8
supplier_8@gmail.com,password_8,name_8,address_8,phone_8,2.2
supplier_9@gmail.com,password_9,name_9,address_9,phone_9,1.8
supplier_10@gmail.com,password_10,name_10,address_10,phone_10,4.2
supplier_11@gmail.com,password_11,name_11,address_11,phone_11,6.3
supplier_12@gmail.com,password_12,name_12,address_12,phone_12,5.1
supplier_13@gmail.com,password_13,name_13,address_13,phone_13,5.2
supplier_14@gmail.com,password_14,name_14,address_14,phone_14,5.7
supplier_15@gmail.com,password_15,name_15,address_15,phone_15,7.5
supplier_16@gmail.com,password_16,name_16,address_16,phone_16,4.6
supplier_17@gmail.com,password_17,name_17,address_17,phone_17,4.0
supplier_18@gmail.com,password_18,name_18,address_18,phone_18,2.8
supplier_19@gmail.com,password_19,name_19,address_19,phone_19,9.3
supplier_20@gmail.com,password_20,name_20,address_20,phone_20,6.5
supplier_21@gmail.com,password_21,name_21,address_21,phone_21,2.3
supplier_22@gmail.com,password_22,name_22,address_22,phone_22,2.9
supplier_23@gmail.com,password_23,name_23,address_23,phone_23,4.3
supplier_24@gmail.com,password_24,name_24,address_24,phone_24,0.8
supplier_25@gmail.com,password_25,name_25,address_25,phone_25,2.4
supplier_26@gmail.com,password_26,name_26,address_26,phone_26,7.4
supplier_27@gmail.com,password_27,name_27,address_27,phone_27,1.9
supplier_28@gmail.com,password_28,name_28,address_28,phone_28,0.9
supplier_29@gmail.com,password_29,name_29,address_29,phone_29,0.7
supplier_30@gmail.com,password_30,name_30,address_30,phone_30,7.9
supplier_31@gmail.com,password_31,name_31,address_31,phone_31,5.7
supplier_32@gmail.com,password_32,name_32,address_32,phone_32,6.0
supplier_33@gmail.com,password_33,name_33,address_33,phone_33,8.5
supplier_34@gmail.com,password_34,name_34,address_34,phone_34,0.8
supplier_35@gmail.com,password_35,name_35,address_35,phone_35,1.3
supplier_36@gmail.com,password_36,name_36,address_36,phone_36,8.3
supplier_37@gmail.com,password_37,name_37,address_37,phone_37,8.0
supplier_38@gmail.com,password_38,name_38,address_38,phone_38,1.4
supplier_39@gmail.com,password_39,name_39,address_39,phone_39,5.5
supplier_40@gmail.com,password_40,name_40,address_40,phone_40,9.5
supplier_41@gmail.com,password_41,name_41,address_41,phone_41,9.8
supplier_42@gmail.com,password_42,name_42,address_42,phone_42,9.8
supplier_43@gmail.com,password_43,name_43,address_43,phone_43,8.8
supplier_44@gmail.com,password_44,name_44,address_44,phone_44,6.1
supplier_45@gmail.com,password_45,name_45,address_45,phone_45,2.2
supplier_46@gmail.com,password_46,name_46,address_46,phone_46,4.2
supplier_47@gmail.com,password_47,name_47,address_47,phone_47,4.9
supplier_48@gmail.com,password_48,name_48,address_48,phone_48,9.7
supplier_49@gmail.com,password_49,name_49,address_49,phone_49,9.6
supplier_50@gmail.com,password_50,name_50,address_50,phone_50,3.2
supplier_51@gmail.com,password_51,name_51,address_51,phone_51,7.1
supplier_52@gmail.com,password_52,name_52,address_52,phone_52,4.0
supplier_53@gmail.com,password_53,name_53,address_53,phone_53,0.9
supplier_54@gmail.com,password_54,name_54,address_54,phone_54,4.7
